"","x"
"1",0.0683305390980468
"2",0.0561941295813679
"3",0.0634519448003331
"4",0.089090537574541
"5",0.0790587036247525
"6",0.080635875294815
"7",0.104727221561423
"8",0.0863735391197125
"9",0.0844840235962447
"10",0.0985314914502962
"11",0.0872025515119361
"12",0.0849636498047702
"13",0.0390128569224685
"14",0.0742143886016642
"15",0.0881832866838204
"16",0.071390201051525
"17",0.130684980425698
"18",0.0883624115300038
"19",0.0635146946568877
"20",0.0811400951009452
"21",0.0511955543541772
"22",0.0805390418644073
"23",0.0642370893692231
"24",0.0595018503819288
"25",0.089799197411577
"26",0.0703760786634333
"27",0.0656186377548341
"28",0.0662399800303262
"29",0.081328912552067
"30",0.0560671966859661
"31",0.0765147774359141
"32",0.0510584720220019
"33",0.105897301500219
"34",0.0661484427205604
"35",0.0536436148774965
"36",0.0573227583295843
"37",0.0600501281019591
"38",0.0667244077247962
"39",0.0519128284859629
"40",0.0612666172554319
"41",0.0602922104846663
"42",0.0748914339138945
"43",0.0828625655559925
"44",0.0821046459364838
"45",0.0487848324209008
"46",0.0521046312658987
"47",0.0886107453919876
"48",0.0794287230866099
"49",0.0557286604697989
"50",0.0395034792326372
"51",0.067312385656383
"52",0.064310717084011
"53",0.0593180903261323
"54",0.100329959772577
"55",0.10041379830711
"56",0.0565887119878601
"57",0.128240417761606
"58",0.110411457792602
"59",0.071040712261177
"60",0.0740707065709359
"61",0.0467033545374124
"62",0.0786937291542424
"63",0.0720577187071398
"64",0.0667697972126831
"65",0.064097443318826
"66",0.0753389650034542
"67",0.0590481120305467
"68",0.091023259846781
"69",0.0691011238953227
"70",0.057320590791042
"71",0.0826137464560275
"72",0.0680492728746386
"73",0.0532471591708601
"74",0.0404534151091598
"75",0.112827465565675
"76",0.0466656962699149
"77",0.110492530787069
"78",0.0522735020931225
"79",0.0735035523030631
"80",0.0654435064391411
"81",0.0704526018751119
"82",0.0455724577323938
"83",0.0647942827055676
"84",0.0729594187607164
"85",0.090521021014395
"86",0.0727270622286866
"87",0.0614895993916788
"88",0.0838548127824217
"89",0.083763479025722
"90",0.0645272859053222
"91",0.0947355379860205
"92",0.0596722836818974
"93",0.0571079171803267
"94",0.0566052989326212
"95",0.0672139097883742
"96",0.0601210981413564
"97",0.0976572661505681
"98",0.107731294669319
"99",0.0574774193008862
"100",0.0765955849831767
"101",0.0955289970992247
"102",0.0769023513758163
"103",0.0728744885646432
"104",0.062210033453446
"105",0.0600720273203243
"106",0.0733150318055357
"107",0.0491715358217999
"108",0.0532683650150308
"109",0.0912581268044635
"110",0.0628737083621332
"111",0.069586962620439
"112",0.100123167033606
"113",0.0608207882047221
"114",0.0589007020779847
"115",0.0718181857177947
"116",0.0488904563009687
